================================================================================
TRAINING LOG
================================================================================
Start Time: 2026-02-09 12:15:38

CONFIGURATION:
--------------------------------------------------------------------------------
image_size               : 256
batch_size               : 4
num_epochs               : 100
lr_g                     : 0.0002
lr_d                     : 0.0002
beta1                    : 0.5
beta2                    : 0.999
lambda_contrastive       : 1.0
lambda_identity          : 5.0
lambda_saturation        : 2.0
target_saturation        : 0.7
temperature              : 0.07
save_interval            : 10
checkpoint_dir           : checkpoints_4
sample_dir               : samples_4

MODEL ARCHITECTURE:
--------------------------------------------------------------------------------
Generator parameters:     5,846,723
Discriminator parameters: 433,267

LOSS FUNCTIONS:
--------------------------------------------------------------------------------
- GAN Loss: MSE (LSGAN)
- Contrastive Loss: InfoNCE
- Identity Loss: L1
- Saturation Loss: DISABLED (commented out)

================================================================================
EPOCH RESULTS:
================================================================================
 Epoch |   D_loss |   G_loss |      GAN | Contrast
--------------------------------------------------------------------------------
     1 |   0.2125 |   3.6173 |   0.4631 |   1.5462
     2 |   0.1670 |   3.5932 |   0.5714 |   1.5529
     3 |   0.1615 |   3.5916 |   0.5876 |   1.5712
     4 |   0.1587 |   3.5735 |   0.5923 |   1.5943
     5 |   0.1560 |   3.5522 |   0.6009 |   1.6029
     6 |   0.1458 |   3.5518 |   0.6289 |   1.6112
     7 |   0.1460 |   3.5367 |   0.6197 |   1.6098
     8 |   0.1477 |   3.5103 |   0.6260 |   1.6090
     9 |   0.1493 |   3.4858 |   0.6000 |   1.6217
    10 |   0.1538 |   3.4623 |   0.5970 |   1.6221
    11 |   0.1583 |   3.4413 |   0.5804 |   1.6199
    12 |   0.1551 |   3.4513 |   0.5874 |   1.6326
    13 |   0.1460 |   3.4725 |   0.6154 |   1.6346
    14 |   0.1433 |   3.4930 |   0.6455 |   1.6323
    15 |   0.1345 |   3.5220 |   0.6862 |   1.6321
    16 |   0.1238 |   3.5877 |   0.7397 |   1.6331
    17 |   0.1182 |   3.6195 |   0.7556 |   1.6341
    18 |   0.1178 |   3.6340 |   0.7685 |   1.6304
    19 |   0.1092 |   3.6477 |   0.7854 |   1.6339
    20 |   0.1063 |   3.6526 |   0.8037 |   1.6252
    21 |   0.1000 |   3.7284 |   0.8399 |   1.6320
    22 |   0.0904 |   3.7414 |   0.8650 |   1.6347
    23 |   0.0865 |   3.7643 |   0.8876 |   1.6251
    24 |   0.0799 |   3.7753 |   0.9011 |   1.6293
    25 |   0.0731 |   3.7868 |   0.9095 |   1.6193
    26 |   0.0833 |   3.7578 |   0.8949 |   1.6295
    27 |   0.0773 |   3.7773 |   0.9079 |   1.6329
