================================================================================
TRAINING LOG
================================================================================
Start Time: 2026-02-09 20:27:58

CONFIGURATION:
--------------------------------------------------------------------------------
image_size               : 256
batch_size               : 4
num_epochs               : 100
lr_g                     : 0.0002
lr_d                     : 0.0002
beta1                    : 0.5
beta2                    : 0.999
lambda_contrastive       : 1.0
lambda_identity          : 5.0
lambda_saturation        : 2.0
target_saturation        : 0.7
temperature              : 0.07
save_interval            : 2
checkpoint_dir           : checkpoints_6
sample_dir               : samples_6

MODEL ARCHITECTURE:
--------------------------------------------------------------------------------
Generator parameters:     5,846,723
Discriminator parameters: 433,267

LOSS FUNCTIONS:
--------------------------------------------------------------------------------
- GAN Loss: MSE (LSGAN)
- Contrastive Loss: InfoNCE
- Identity Loss: L1
- Saturation Loss: DISABLED (commented out)

================================================================================
EPOCH RESULTS:
================================================================================
 Epoch |   D_loss |   G_loss |      GAN | Contrast
--------------------------------------------------------------------------------
     1 |   0.2097 |   3.5350 |   0.4367 |   1.5224
     2 |   0.1653 |   3.5689 |   0.5675 |   1.5219
     3 |   0.1580 |   3.5916 |   0.5929 |   1.5470
     4 |   0.1705 |   3.5252 |   0.5526 |   1.5646
     5 |   0.1635 |   3.5032 |   0.5610 |   1.5896
     6 |   0.1579 |   3.4760 |   0.5775 |   1.5864
     7 |   0.1516 |   3.4987 |   0.6075 |   1.5925
     8 |   0.1542 |   3.4834 |   0.5944 |   1.5958
     9 |   0.1579 |   3.4531 |   0.5803 |   1.5986
    10 |   0.1572 |   3.4322 |   0.5805 |   1.5910
    11 |   0.1556 |   3.4438 |   0.5939 |   1.6124
    12 |   0.1539 |   3.4244 |   0.5996 |   1.6002
    13 |   0.1552 |   3.4412 |   0.6139 |   1.6070
    14 |   0.1485 |   3.4594 |   0.6314 |   1.6075
    15 |   0.1443 |   3.4735 |   0.6481 |   1.6132
    16 |   0.1405 |   3.4869 |   0.6741 |   1.6051
    17 |   0.1352 |   3.5153 |   0.6927 |   1.6026
    18 |   0.1352 |   3.5048 |   0.6984 |   1.6061
    19 |   0.1268 |   3.5096 |   0.7099 |   1.6081
    20 |   0.1228 |   3.5187 |   0.7300 |   1.5998
    21 |   0.1124 |   3.5595 |   0.7675 |   1.6048
    22 |   0.1120 |   3.5561 |   0.7800 |   1.5974
    23 |   0.1025 |   3.5731 |   0.8003 |   1.5982
    24 |   0.1046 |   3.5617 |   0.7910 |   1.6032
    25 |   0.1006 |   3.6150 |   0.8201 |   1.6074
    26 |   0.0963 |   3.6111 |   0.8276 |   1.5979
    27 |   0.0910 |   3.6290 |   0.8504 |   1.5893
    28 |   0.0866 |   3.6057 |   0.8476 |   1.5888
    29 |   0.0831 |   3.6091 |   0.8664 |   1.5834
    30 |   0.0849 |   3.6179 |   0.8623 |   1.5912
    31 |   0.0731 |   3.6390 |   0.8878 |   1.5881
    32 |   0.0758 |   3.6375 |   0.8997 |   1.5815
    33 |   0.0743 |   3.6122 |   0.8840 |   1.5838
    34 |   0.0649 |   3.6481 |   0.9176 |   1.5873
    35 |   0.0658 |   3.6381 |   0.9185 |   1.5816
    36 |   0.0604 |   3.6504 |   0.9272 |   1.5875
    37 |   0.0598 |   3.6586 |   0.9326 |   1.5742
    38 |   0.0620 |   3.6448 |   0.9298 |   1.5788
    39 |   0.0554 |   3.6552 |   0.9478 |   1.5679
    40 |   0.0533 |   3.6407 |   0.9462 |   1.5706
    41 |   0.0517 |   3.6603 |   0.9553 |   1.5726
    42 |   0.0571 |   3.6463 |   0.9431 |   1.5718
    43 |   0.0469 |   3.6372 |   0.9574 |   1.5678
    44 |   0.0535 |   3.6470 |   0.9654 |   1.5629
    45 |   0.0429 |   3.6413 |   0.9712 |   1.5682
    46 |   0.0451 |   3.6166 |   0.9619 |   1.5539
    47 |   0.0418 |   3.6415 |   0.9798 |   1.5665
    48 |   0.0431 |   3.6306 |   0.9734 |   1.5547
    49 |   0.0414 |   3.6251 |   0.9763 |   1.5490
    50 |   0.0390 |   3.6331 |   0.9844 |   1.5489
    51 |   0.0383 |   3.6148 |   0.9832 |   1.5415
    52 |   0.0345 |   3.6232 |   0.9911 |   1.5418
    53 |   0.0348 |   3.6104 |   0.9949 |   1.5316
    54 |   0.0401 |   3.6141 |   0.9842 |   1.5370
    55 |   0.0391 |   3.5953 |   0.9760 |   1.5311
    56 |   0.0366 |   3.6206 |   0.9952 |   1.5336
    57 |   0.0317 |   3.5973 |   0.9934 |   1.5213
    58 |   0.0255 |   3.6163 |   1.0041 |   1.5137
    59 |   0.0445 |   3.5703 |   0.9734 |   1.5094
    60 |   0.0345 |   3.6063 |   0.9960 |   1.5124
    61 |   0.0247 |   3.5789 |   1.0031 |   1.5036
    62 |   0.0336 |   3.5599 |   0.9872 |   1.4970
    63 |   0.0281 |   3.6009 |   1.0021 |   1.5070
    64 |   0.0341 |   3.5687 |   0.9925 |   1.4976
    65 |   0.0305 |   3.5594 |   0.9926 |   1.4906
    66 |   0.0300 |   3.5506 |   0.9943 |   1.4807
    67 |   0.0270 |   3.5542 |   1.0009 |   1.4728
    68 |   0.0238 |   3.5537 |   1.0063 |   1.4728
    69 |   0.0361 |   3.5429 |   0.9957 |   1.4710
    70 |   0.0249 |   3.5146 |   0.9954 |   1.4489
    71 |   0.0272 |   3.5440 |   1.0016 |   1.4703
    72 |   0.0183 |   3.5278 |   1.0078 |   1.4622
    73 |   0.0342 |   3.5225 |   0.9969 |   1.4564
    74 |   0.0276 |   3.4964 |   0.9971 |   1.4298
    75 |   0.0270 |   3.5087 |   0.9980 |   1.4424
    76 |   0.0255 |   3.4971 |   0.9994 |   1.4276
    77 |   0.0199 |   3.5178 |   1.0131 |   1.4179
    78 |   0.0257 |   3.5029 |   1.0025 |   1.4276
    79 |   0.0217 |   3.4836 |   1.0063 |   1.4084
    80 |   0.0223 |   3.4907 |   1.0120 |   1.4058
    81 |   0.0265 |   3.4875 |   1.0055 |   1.3969
    82 |   0.0188 |   3.5025 |   1.0102 |   1.4226
    83 |   0.0219 |   3.4784 |   1.0130 |   1.3847
    84 |   0.0313 |   3.4719 |   0.9963 |   1.4058
    85 |   0.0186 |   3.4647 |   1.0045 |   1.3932
    86 |   0.0198 |   3.4680 |   1.0090 |   1.3862
    87 |   0.0201 |   3.4663 |   1.0109 |   1.3904
    88 |   0.0270 |   3.4443 |   1.0005 |   1.3765
    89 |   0.0202 |   3.4610 |   1.0143 |   1.3770
    90 |   0.0157 |   3.4358 |   1.0121 |   1.3645
    91 |   0.0207 |   3.4275 |   1.0133 |   1.3501
    92 |   0.0186 |   3.4501 |   1.0089 |   1.3727
    93 |   0.0168 |   3.4267 |   1.0111 |   1.3481
    94 |   0.0236 |   3.4217 |   1.0094 |   1.3565
    95 |   0.0141 |   3.4281 |   1.0120 |   1.3475
    96 |   0.0151 |   3.4208 |   1.0146 |   1.3687
    97 |   0.0215 |   3.4248 |   1.0094 |   1.3511
    98 |   0.0182 |   3.4256 |   1.0141 |   1.3379
    99 |   0.0219 |   3.3946 |   1.0110 |   1.3305
   100 |   0.0143 |   3.3948 |   1.0124 |   1.3303

================================================================================
Training completed at: 2026-02-10 00:43:59
================================================================================
